,Branch,Date,# Drops,# Partials,# Irregular Borrower,# Paid Off Yesterday,# Today Disbursed,# Today Paid Off,# Virtual New Borrower (Disbursed),# Returning Borrowers (Disbursed),# CGT Trainings,New Members (pending loans not yet approved),# Recognized Return Members (pending loans not yet approved),$ Portfolio Outstanding,Center #,Total # Active Members,# Active Members Present,# Active Members late,# Active Members Absent Excused,# Active Members Absent Unexcused,Reasons for Lateness or Absences
653,23 - Fresno,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
654,23 - Fresno,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
655,23 - Fresno,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
656,23 - Fresno,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
657,23 - Fresno,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
658,23 - Fresno,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
659,23 - Fresno,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
660,23 - Fresno,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
661,23 - Fresno,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
662,23 - Fresno,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
663,23 - Fresno,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
664,23 - Fresno,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
665,23 - Fresno,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
666,23 - Fresno,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
667,24 - Chicago,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
668,24 - Chicago,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
669,24 - Chicago,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
670,24 - Chicago,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
671,24 - Chicago,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
672,24 - Chicago,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
673,24 - Chicago,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
674,24 - Chicago,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
675,24 - Chicago,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
676,24 - Chicago,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
677,24 - Chicago,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
678,24 - Chicago,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
679,24 - Chicago,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
680,24 - Chicago,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
681,24 - Chicago,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
682,24 - Chicago,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
683,24 - Chicago,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
684,24 - Chicago,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
685,24 - Chicago,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
686,24 - Chicago,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
687,24 - Chicago,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
688,24 - Chicago,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
689,24 - Chicago,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
690,24 - Chicago,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
691,24 - Chicago,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
692,24 - Chicago,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
693,24 - Chicago,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
694,24 - Chicago,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
695,24 - Chicago,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
696,25 - Trenton/Camden - New Jersey 4,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
697,25 - Trenton/Camden - New Jersey 4,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
698,25 - Trenton/Camden - New Jersey 4,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
699,25 - Trenton/Camden - New Jersey 4,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
700,25 - Trenton/Camden - New Jersey 4,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
701,25 - Trenton/Camden - New Jersey 4,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
702,25 - Trenton/Camden - New Jersey 4,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
703,25 - Trenton/Camden - New Jersey 4,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
704,25 - Trenton/Camden - New Jersey 4,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
705,25 - Trenton/Camden - New Jersey 4,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
706,25 - Trenton/Camden - New Jersey 4,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
707,25 - Trenton/Camden - New Jersey 4,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
708,25 - Trenton/Camden - New Jersey 4,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
709,25 - Trenton/Camden - New Jersey 4,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
710,25 - Trenton/Camden - New Jersey 4,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
711,25 - Trenton/Camden - New Jersey 4,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
712,25 - Trenton/Camden - New Jersey 4,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
713,25 - Trenton/Camden - New Jersey 4,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
714,25 - Trenton/Camden - New Jersey 4,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
715,25 - Trenton/Camden - New Jersey 4,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
716,25 - Trenton/Camden - New Jersey 4,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
717,25 - Trenton/Camden - New Jersey 4,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
718,25 - Trenton/Camden - New Jersey 4,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
719,25 - Trenton/Camden - New Jersey 4,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
720,25 - Trenton/Camden - New Jersey 4,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
721,25 - Trenton/Camden - New Jersey 4,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
722,25 - Trenton/Camden - New Jersey 4,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
723,25 - Trenton/Camden - New Jersey 4,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
724,25 - Trenton/Camden - New Jersey 4,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
725,26 - San Antonio - Texas,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
726,26 - San Antonio - Texas,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
727,26 - San Antonio - Texas,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
728,26 - San Antonio - Texas,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
729,26 - San Antonio - Texas,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
730,26 - San Antonio - Texas,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
731,26 - San Antonio - Texas,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
732,26 - San Antonio - Texas,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
733,26 - San Antonio - Texas,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
734,26 - San Antonio - Texas,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
735,26 - San Antonio - Texas,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
736,26 - San Antonio - Texas,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
737,26 - San Antonio - Texas,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
738,26 - San Antonio - Texas,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
739,26 - San Antonio - Texas,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
740,26 - San Antonio - Texas,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
741,26 - San Antonio - Texas,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
742,26 - San Antonio - Texas,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
743,26 - San Antonio - Texas,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
744,26 - San Antonio - Texas,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
745,26 - San Antonio - Texas,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
746,26 - San Antonio - Texas,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
747,26 - San Antonio - Texas,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
748,26 - San Antonio - Texas,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
749,26 - San Antonio - Texas,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
750,26 - San Antonio - Texas,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
751,26 - San Antonio - Texas,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
752,26 - San Antonio - Texas,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
753,26 - San Antonio - Texas,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
754,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
755,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
756,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
757,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
758,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
759,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
760,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
761,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
762,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
763,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
764,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
765,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
766,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
767,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
768,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
769,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
770,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
771,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
772,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
773,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
774,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
775,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
776,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
777,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
778,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
779,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
780,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
781,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
782,27 - Hartford/Bridgeport/New Haven - Connecticut,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
783,28 - Dallas - Texas,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
784,28 - Dallas - Texas,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
785,28 - Dallas - Texas,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
786,28 - Dallas - Texas,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
787,28 - Dallas - Texas,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
788,28 - Dallas - Texas,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
789,28 - Dallas - Texas,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
790,28 - Dallas - Texas,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
791,28 - Dallas - Texas,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
792,28 - Dallas - Texas,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
793,28 - Dallas - Texas,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
794,28 - Dallas - Texas,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
795,28 - Dallas - Texas,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
796,28 - Dallas - Texas,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
797,28 - Dallas - Texas,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
798,28 - Dallas - Texas,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
799,28 - Dallas - Texas,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
800,28 - Dallas - Texas,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
801,28 - Dallas - Texas,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
802,28 - Dallas - Texas,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
803,28 - Dallas - Texas,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
804,28 - Dallas - Texas,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
805,28 - Dallas - Texas,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
806,28 - Dallas - Texas,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
807,28 - Dallas - Texas,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
808,28 - Dallas - Texas,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
809,28 - Dallas - Texas,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
810,28 - Dallas - Texas,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
811,28 - Dallas - Texas,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
812,29 -  Memphis - Tennessee,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
813,29 -  Memphis - Tennessee,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
814,29 -  Memphis - Tennessee,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
815,29 -  Memphis - Tennessee,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
816,29 -  Memphis - Tennessee,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
817,29 -  Memphis - Tennessee,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
818,29 -  Memphis - Tennessee,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
819,29 -  Memphis - Tennessee,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
820,29 -  Memphis - Tennessee,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
821,29 -  Memphis - Tennessee,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
822,29 -  Memphis - Tennessee,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
823,29 -  Memphis - Tennessee,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
824,29 -  Memphis - Tennessee,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
825,29 -  Memphis - Tennessee,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
826,29 -  Memphis - Tennessee,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
827,29 -  Memphis - Tennessee,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
828,29 -  Memphis - Tennessee,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
829,29 -  Memphis - Tennessee,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
830,29 -  Memphis - Tennessee,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
831,29 -  Memphis - Tennessee,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
832,29 -  Memphis - Tennessee,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
833,29 -  Memphis - Tennessee,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
834,29 -  Memphis - Tennessee,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
835,29 -  Memphis - Tennessee,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
836,29 -  Memphis - Tennessee,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
837,29 -  Memphis - Tennessee,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
838,29 -  Memphis - Tennessee,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
839,29 -  Memphis - Tennessee,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
840,29 -  Memphis - Tennessee,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
